application;category 
Прошу предоставить больничный лист за прошлую неделю.;Больничные/Медицинские справки
Как мне получить справку о болезни для работодателя?;Больничные/Медицинские справки
Нужен больничный на 5 дней, так как я заболел.;Больничные/Медицинские справки
Как быстро оформить медицинскую справку?;Больничные/Медицинские справки
Прошу заверить мой больничный, чтобы не возникло проблем с отпуском.;Больничные/Медицинские справки
Можно ли получить дубликат больничного листа?;Больничные/Медицинские справки
Как оформить справку о перенесенном заболевании?;Больничные/Медицинские справки
Нужна медицинская справка для поездки в командировку.;Больничные/Медицинские справки
Могу ли я предоставить больничный в электронном виде?;Больничные/Медицинские справки
Как долго действуют медицинские справки?;Больничные/Медицинские справки
Нужно оформить больничный лист для посещения врача.;Больничные/Медицинские справки
Как получить справку о состоянии здоровья для страховой компании? ;Больничные/Медицинские справки
Прошу продлить мой больничный до конца месяца. ;Больничные/Медицинские справки
Где получить справку для учебного заведения? ;Больничные/Медицинские справки
Каков срок действия больничного листа? ;Больничные/Медицинские справки
У меня возникли проблемы с получением дубликата больничного, помогите! ;Больничные/Медицинские справки
Как отправить больничный лист работодателю?;Больничные/Медицинские справки
Могу ли я получить медицинскую справку через интернет? ;Больничные/Медицинские справки
Нужна справка для Компенсации по временной нетрудоспособности. ;Больничные/Медицинские справки
Какова процедура получения медицинского освидетельствования?;Больничные/Медицинские справки
"""Как получить больничный лист?""";Больничные/Медицинские справки
"""Можно ли получить справку о состоянии здоровья для поездки?""";Больничные/Медицинские справки
"""Что делать, если я забыл подать справку о болезни?""";Больничные/Медицинские справки
"""Как оформить медицинский отпуск в связи с заболеванием?""";Больничные/Медицинские справки
"""Необходимо получить справку для учебного заведения по болезни.""";Больничные/Медицинские справки
"""Где взять информацию о медицинских осмотрах в компании?""";Больничные/Медицинские справки
"""Какая процедура получения медицинской справки для визы?""";Больничные/Медицинские справки
"""Как мне подать заявку на компенсацию за больничный?""";Больничные/Медицинские справки
"""Как быстро оформить больничный при обращении к врачу?""";Больничные/Медицинские справки
"""Нужна ли мне справка для получения отпускных в связи с больничным?""";Больничные/Медицинские справки
"""Как получить дополнение к больничному листу?""";Больничные/Медицинские справки
"""Где я могу найти информацию о доступных медицинских услугах?""";Больничные/Медицинские справки
"""Как оформить медицинские справки для трудовой инспекции?""";Больничные/Медицинские справки
"""Что делать, если мне нужна справка об отсутствии на работе?""";Больничные/Медицинские справки
"""Можно ли проходить медосмотр в компании в выходные дни?""";Больничные/Медицинские справки
Могу ли я запросить перевод в другой отдел?;Кадровые вопросы
Как мне получить справку о трудовой деятельности?;Кадровые вопросы
Прошу разъяснений по поводу премий.;Кадровые вопросы
Как подать жалобу на действия руководителя?;Кадровые вопросы
В какие сроки осуществляется начисление отпускных?;Кадровые вопросы
Кто отвечает за распределение корпоративных бонусов?;Кадровые вопросы
Прошу разъяснить порядок повышения квалификации. ;Кадровые вопросы
Когда начнется цикл собеседований для новых вакансий? ;Кадровые вопросы
Как подать заявку на дистанционное обучение? ;Кадровые вопросы
Могу ли я запросить зарплатные выплаты уже сейчас? ;Кадровые вопросы
Как происходит распределение командировок среди сотрудников? ;Кадровые вопросы
Нужен ли медицинский осмотр для новых сотрудников? ;Кадровые вопросы
Прошу предоставить информацию о программе корпоративного обучения. ;Кадровые вопросы
