application;category 
Хочу взять отгул 5 и 6 мая.;Отпуск
Прошу согласовать мой отпуск с 15 по 30 июня.;Отпуск
Необходимо подтвердить мой отпуск на 12 июля.;Отпуск
Хочу взять отпуск по уходу за ребенком.;Отпуск
Пожалуйста, помогите оформить расширенный отпуск.;Отпуск
Как мне оформить отпуск на летние каникулы?;Отпуск
Прошу предоставить отпуск с 10 по 20 июня.;Отпуск
Хочу взять несколько дней отпуска в начале мая. ;Отпуск
Могу ли я заменить календарный отпуск на денежную компенсацию? ;Отпуск
Как оформить отпуск для учебы? ;Отпуск
Прошу рассмотреть возможность продления моего отпуска. ;Отпуск
Хочу взять отпуск по уходу за больным родственником. ;Отпуск
Необходимо согласовать отпуск с 1 по 5 апреля. ;Отпуск
Напоминаю о своей просьбе на отпуск в сентябре. ;Отпуск
Какие документы нужны для оформления летнего отпуска? ;Отпуск
Можно ли взять отпуск с получением зарплаты за это время?;Отпуск
Могу ли я запросить перевод в другой отдел?;Кадровые вопросы
Как мне получить справку о трудовой деятельности?;Кадровые вопросы
Прошу разъяснений по поводу премий.;Кадровые вопросы
Как подать жалобу на действия руководителя?;Кадровые вопросы
В какие сроки осуществляется начисление отпускных?;Кадровые вопросы
Кто отвечает за распределение корпоративных бонусов?;Кадровые вопросы
Как долго будет действовать моя заявка на отпуск?;Отпуск
Прошу разъяснить порядок повышения квалификации. ;Кадровые вопросы
Когда начнется цикл собеседований для новых вакансий? ;Кадровые вопросы
Как подать заявку на дистанционное обучение? ;Кадровые вопросы
Могу ли я запросить зарплатные выплаты уже сейчас? ;Кадровые вопросы
Как происходит распределение командировок среди сотрудников? ;Кадровые вопросы
Нужен ли медицинский осмотр для новых сотрудников? ;Кадровые вопросы
Прошу предоставить информацию о программе корпоративного обучения. ;Кадровые вопросы
Каковы обязательства работодателя по отношению к стажерам? ;Кадровые вопросы
Как долго длится испытательный срок на новой должности?;Кадровые вопросы
Как подать запрос на изменение должности?;Кадровые вопросы
Прошу прояснить процесс оценки эффективности.;Кадровые вопросы
Когда будет следующая аттестация сотрудников?;Кадровые вопросы
Какие документы нужны для оформления рабочего контракта?;Кадровые вопросы
Хочу взять отпуск с 1 по 14 июля.;Отпуск
Прошу предоставить отпуск на 10 дней в августе.;Отпуск
Можно ли оформить отпуск на первую неделю сентября?;Отпуск
Напоминаю о своей просьбе взять отпуск в конце года.;Отпуск
Прошу предоставить больничный лист за прошлую неделю.;Больничные/Медицинские справки
Как мне получить справку о болезни для работодателя?;Больничные/Медицинские справки
Нужен больничный на 5 дней, так как я заболел.;Больничные/Медицинские справки
Как быстро оформить медицинскую справку?;Больничные/Медицинские справки
